id,sourceId,vulnStatus,published,lastModified,evaluatorComment,evaluatorSolution,evaluatorImpact,cisaExploitAdd,cisaActionDue,cisaRequiredAction,cisaVulnerabilityName,tags,description,references,weaknesses,configurations,vendorComments,v2Source,v2BaseSeverity,v2ExploitabilityScore,v2Impact,v2acInsufInfo,v2ObtainAllPrivilege,v2ObtainUserPrivilege,v2ObtainOtherPrivilege,v2UserInteractionRequired,v2VectorString,v2AccessVector,v2AccessComplexity,v2Authentication,v2ConfidentialityImpact,v2IntegrityImpact,v2AvailabilityImpact,v2BaseScore,v3Source,v3ExploitabilityScore,v3ImpactScore,v3VectorString,v3AttackVector,v3AttackComplexity,v3PrivilegesRequired,v3UserInteraction,v3Scope,v3ConfidentialityImpact,v3IntegrityImpact,v3AvailabilityImpact,v3BaseScore,v3BaseSeverity,v4Source,v4VectorString,v4BaseScore,v4BaseSeverity,v4AttackVector,v4AttackComplexity,v4AttackRequirements,v4PrivilegesRequired,v4UserInteraction,v4VulnConfidentialityImpact,v4VulnIntegrityImpact,v4VulnAvailabilityImpact,v4SubConfidentialityImpact,v4SubIntegrityImpact,v4SubAvailabilityImpact,v4ExploitMaturity,v4ConfidentialityRequirement,v4IntegrityRequirement,v4AvailabilityRequirement,v4ModifiedAttackVector,v4ModifiedAttackComplexity,v4ModifiedAttackRequirements,v4ModifiedPrivilegesRequired,v4ModifiedUserInteraction,v4ModifiedVulnConfidentialityImpact,v4ModifiedVulnIntegrityImpact,v4ModifiedVulnAvailabilityImpact,v4ModifiedSubConfidentialityImpact,v4ModifiedSubIntegrityImpact,v4ModifiedSubAvailabilityImpact,v4Safety,v4Automatable,v4Recovery,v4ValueDensity,v4VulnResponseEffort,v4ProviderUrgency
CVE-1999-0095,MITRE,Deferred,1988-10-01T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.","http://seclists.org/fulldisclosure/2019/Jun/16: MITRE, CVE
http://www.openwall.com/lists/oss-security/2019/06/05/4: MITRE, CVE
http://www.openwall.com/lists/oss-security/2019/06/06/1: MITRE, CVE
http://www.osvdb.org/195: MITRE, CVE
http://www.securityfocus.com/bid/1: MITRE, CVE",,"Config 1
OR
	cpe:2.3:a:eric_allman:sendmail:5.58:*:*:*:*:*:*:*",,NVD,HIGH,10.0,10.0,False,True,False,False,False,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-0082,MITRE,Deferred,1988-11-11T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,CWD ~root command in ftpd allows root access.,"http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html: MITRE, CVE",,"Config 1
OR
	cpe:2.3:a:ftp:ftp:*:*:*:*:*:*:*:*
	cpe:2.3:a:ftpcd:ftpcd:*:*:*:*:*:*:*:*",,NVD,HIGH,10.0,10.0,False,True,False,False,False,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1471,MITRE,Deferred,1989-01-01T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,"http://www.cert.org/advisories/CA-1989-01.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.iss.net/security_center/static/7152.php: MITRE, CVE
http://www.securityfocus.com/bid/4: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)",,"Config 1
OR
	cpe:2.3:o:bsd:bsd:4.2:*:*:*:*:*:*:*
	cpe:2.3:o:bsd:bsd:4.3:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1122,MITRE,Deferred,1989-07-26T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,"http://www.cert.org/advisories/CA-1989-02.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.ciac.org/ciac/bulletins/ciac-08.shtml: MITRE, CVE
http://www.securityfocus.com/bid/3: MITRE, CVE
https://exchange.xforce.ibmcloud.com/vulnerabilities/6695: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:*:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.1:*:*:*:*:*:*:*",,NVD,MEDIUM,3.9,6.4,False,False,False,False,False,AV:L/AC:L/Au:N/C:P/I:P/A:P,LOCAL,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1467,MITRE,Deferred,1989-10-26T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.","http://www.cert.org/advisories/CA-1989-07.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.securityfocus.com/bid/5: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
https://exchange.xforce.ibmcloud.com/vulnerabilities/3165: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:4.0:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.1:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.2:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.3:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.3c:*:*:*:*:*:*:*",,NVD,HIGH,10.0,10.0,False,True,False,False,False,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1506,MITRE,Deferred,1990-01-29T05:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.","http://www.cert.org/advisories/CA-90.01.sun.sendmail.vulnerability: MITRE (Third Party Advisory, US Government Resource), CVE (Third Party Advisory, US Government Resource)
http://www.securityfocus.com/bid/6: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)",,"Config 1
OR
	cpe:2.3:o:sun:sunos:3.5:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.1:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.2:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.3:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.3c:*:*:*:*:*:*:*",,NVD,HIGH,10.0,6.4,False,False,False,False,False,AV:N/AC:L/Au:N/C:P/I:P/A:P,NETWORK,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-0084,MITRE,Deferred,1990-05-01T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,"https://exchange.xforce.ibmcloud.com/vulnerabilities/78: MITRE, CVE",CWE-269: CISA-ADP,"Config 1
OR
	cpe:2.3:a:sun:nfs:*:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,CISA-ADP,2.5,5.9,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,8.4,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-2000-0388,MITRE,Deferred,1990-05-09T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,"ftp://ftp.freebsd.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-00%3A17.libmytinfo.asc: MITRE, CVE
http://www.securityfocus.com/bid/1185: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:freebsd:freebsd:3.0:*:*:*:*:*:*:*
	cpe:2.3:o:freebsd:freebsd:3.1:*:*:*:*:*:*:*
	cpe:2.3:o:freebsd:freebsd:3.2:*:*:*:*:*:*:*
	cpe:2.3:o:freebsd:freebsd:3.3:*:*:*:*:*:*:*
	cpe:2.3:o:freebsd:freebsd:3.4:*:*:*:*:*:*:*",,NVD,HIGH,10.0,6.4,False,False,True,False,False,AV:N/AC:L/Au:N/C:P/I:P/A:P,NETWORK,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-0209,MITRE,Deferred,1990-08-14T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,The SunView (SunTools) selection_svc facility allows remote users to read files.,"http://www.securityfocus.com/bid/8: MITRE, CVE",,"Config 1
OR
	cpe:2.3:o:sun:sunos:3.5:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.1:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.2:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.0.3:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.1:*:*:*:*:*:*:*
	cpe:2.3:o:sun:sunos:4.1.1:*:*:*:*:*:*:*",,NVD,MEDIUM,10.0,2.9,False,False,False,False,False,AV:N/AC:L/Au:N/C:P/I:N/A:N,NETWORK,LOW,NONE,PARTIAL,NONE,NONE,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1198,MITRE,Deferred,1990-10-03T04:00:00.000,2025-04-03T01:03:51.193,,,,,,,,,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.","http://ciac.llnl.gov/ciac/bulletins/b-01.shtml: MITRE (Patch, Vendor Advisory), CVE (Patch, Vendor Advisory)
http://www.cert.org/advisories/CA-1990-06.html: MITRE (Patch, Third Party Advisory, US Government Resource), CVE (Patch, Third Party Advisory, US Government Resource)
http://www.iss.net/security_center/static/7141.php: MITRE, CVE
http://www.securityfocus.com/bid/11: MITRE, CVE",,"Config 1
OR
	cpe:2.3:a:next:next:*:*:*:*:*:*:*:*",,NVD,HIGH,3.9,10.0,False,True,False,False,False,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
